Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Weeks,Area sqm,Area sqft,Â£psf pa,Address,url
"Between Towns Court, Oxford",Fresh,Ground Floor En Suite,198.0,693.0,8316,42,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Ground Floor En Suite,195.0,828.75,9945,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Classic En Suite,205.0,717.5,8610,42,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Classic En Suite,202.0,858.5,10302,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Large En Suite,215.0,752.5,9030,42,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Large En Suite,210.0,892.5,10710,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Classic Studio,280.0,1190.0,14280,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
Student Castle Oxford,Student Castle,Palin Flat,222.0,943.5,11322,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Wilde Flat,235.0,998.75,11985,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Lewis Flat,275.0,1168.75,14025,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Bannister Studio,282.0,1198.5,14382,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Wren Studio,307.0,1304.75,15657,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Fielding Twin,386.0,1640.5,19686,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Larkin Twin,422.0,1793.5,21522,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Curtis Studio (2 bed studio) Apartment (single occupancy),432.0,1836.0,22032,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Wren Studio,307.0,1176.83,14122,46,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
"The Spireworks, Oxford",aparto,Bronze Studio,317.0,1347.25,16167,51,,,,"163 Cowley Road, Oxford, OX4 1UT",https://www.mystudenthalls.com/student-accommodation/oxford/the-spireworks-oxford/
"The Spireworks, Oxford",aparto,Silver Studio,322.0,1368.5,16422,51,,,,"163 Cowley Road, Oxford, OX4 1UT",https://www.mystudenthalls.com/student-accommodation/oxford/the-spireworks-oxford/
"The Spireworks, Oxford",aparto,Silver Studio Plus,327.0,1389.75,16677,51,,,,"163 Cowley Road, Oxford, OX4 1UT",https://www.mystudenthalls.com/student-accommodation/oxford/the-spireworks-oxford/
"The Spireworks, Oxford",aparto,Gold Studio,335.0,1423.75,17085,51,,,,"163 Cowley Road, Oxford, OX4 1UT",https://www.mystudenthalls.com/student-accommodation/oxford/the-spireworks-oxford/
"The Spireworks, Oxford",aparto,Platinum Studio,345.0,1466.25,17595,51,,,,"163 Cowley Road, Oxford, OX4 1UT",https://www.mystudenthalls.com/student-accommodation/oxford/the-spireworks-oxford/
"The Spireworks, Oxford",aparto,1-Bed apartment,370.0,1572.5,18870,51,,,,"163 Cowley Road, Oxford, OX4 1UT",https://www.mystudenthalls.com/student-accommodation/oxford/the-spireworks-oxford/
"The Spireworks, Oxford",aparto,Twin Studio,430.0,1827.5,21930,51,,,,"163 Cowley Road, Oxford, OX4 1UT",https://www.mystudenthalls.com/student-accommodation/oxford/the-spireworks-oxford/
Stonemason House,Hello Student,Prices available from,161.0,684.25,8211,51,,,,"Stonemason House, 145 Magdalen Road, Oxford, OX4 1RL",https://www.mystudenthalls.com/student-accommodation/oxford/stonemason-house/
The Mews,Host,Studio,228.0,798.0,9576,42,,,,"The Mews, Glanville road, Oxford, OX4 2SY",https://www.mystudenthalls.com/student-accommodation/oxford/the-mews/
The Mews,Host,Standard En-suite,192.5,673.75,8085,42,,,,"The Mews, Glanville road, Oxford, OX4 2SY",https://www.mystudenthalls.com/student-accommodation/oxford/the-mews/
iQ Alice House,iQ Student Accommodation,Bronze Studio Plus,325.0,1381.25,16575,51,,,,"25 St Clement's Street, Oxford, Oxford, OX4 1GG",https://www.mystudenthalls.com/student-accommodation/oxford/iq-alice-house/
iQ Alice House,iQ Student Accommodation,Gold Studio Plus,379.0,1610.75,19329,51,,,,"25 St Clement's Street, Oxford, Oxford, OX4 1GG",https://www.mystudenthalls.com/student-accommodation/oxford/iq-alice-house/
iQ Alice House,iQ Student Accommodation,Silver Studio Plus,357.0,1517.25,18207,51,,,,"25 St Clement's Street, Oxford, Oxford, OX4 1GG",https://www.mystudenthalls.com/student-accommodation/oxford/iq-alice-house/
Slade Park,Homes for Students,Gold Ensuite - 4 Bed,189.0,693.0,8316,44,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Studio,275.0,1168.75,14025,51,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Silver Ensuite - 6 Bed,155.0,426.25,5115,33,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Silver Ensuite - 5 Bed,160.0,440.0,5280,33,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Silver Ensuite - 4 Bed,165.0,453.75,5445,33,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Platinum Large Ensuite - 6 bed,169.0,464.75,5577,33,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Ensuite Plus (Non-courtyard) - 5 Bed,174.0,391.5,4698,27,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Ensuite Plus (Non-courtyard) - 4 Bed,179.0,402.75,4833,27,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Gold Ensuite - 6 Bed,180.0,660.0,7920,44,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Gold Ensuite - 5 Bed,199.0,729.67,8756,44,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Premium Ensuite,210.0,770.0,9240,44,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Premium Ensuite 6 Bed,201.0,737.0,8844,44,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
Slade Park,Homes for Students,Standard Ensuite,185.0,678.33,8140,44,,,,"Horspath Driftway, Oxford, OX3 7FJ",https://www.mystudenthalls.com/student-accommodation/oxford/slade-park-2/
West Way Square,CRM Students,Premium Studio,232.0,986.0,11832,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Premium Plus Studio,250.0,1062.5,12750,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Superior Studio,260.0,1105.0,13260,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Superior Plus Studio,275.0,1168.75,14025,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Superior Studio Terrace,315.0,1338.75,16065,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,2-Bed Apartment,236.0,1003.0,12036,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Deluxe Studio,270.0,1147.5,13770,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Deluxe Studio,290.0,1087.5,13050,45,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Deluxe Plus Studio,295.0,1253.75,15045,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Deluxe Studio Terrace,330.0,1402.5,16830,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Luxury Studio,320.0,1360.0,16320,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Luxury Studio,330.0,1237.5,14850,45,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,Luxury Studio Terrace,340.0,1445.0,17340,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
West Way Square,CRM Students,1-Bed Apartment,383.0,1627.75,19533,51,,,,"5 West Way Square, Oxford, OX2 9TD",https://www.mystudenthalls.com/student-accommodation/oxford/west-way-square/
